Aa,Ad,Ba,Bd,s1,s2,p
0,1,0,2,0,0,0.16963750356242463
0,1,0,2,0,1,0.12054046262903247
0,1,0,2,0,2,0.05485663137460547
0,1,0,2,0,3,0.019256731428926022
0,1,0,2,1,0,0.14847012045744853
0,1,0,2,1,1,0.14610076289296722
0,1,0,2,1,2,0.06823763370752442
0,1,0,2,1,3,0.022358656246817824
0,1,0,2,2,0,0.07213036578332263
0,1,0,2,2,1,0.07277897397569483
0,1,0,2,2,2,0.03302501573890519
0,1,0,2,2,3,0.010950238832513347
0,1,0,2,3,0,0.02177721603781435
0,1,0,2,3,1,0.02400085578201038
0,1,0,2,3,2,0.012972289222312503
0,1,0,2,3,3,0.002906542327680172
0,1,0,3,0,0,0.19410892280429737
0,1,0,3,0,1,0.14882109866471943
0,1,0,3,0,2,0.06890781730772919
0,1,0,3,0,3,0.026042787029179195
0,1,0,3,1,0,0.13539664748189056
0,1,0,3,1,1,0.1435913140305249
0,1,0,3,1,2,0.06864167567382742
0,1,0,3,1,3,0.025922262267101922
0,1,0,3,2,0,0.057199439154215964
0,1,0,3,2,1,0.05712913243042107
0,1,0,3,2,2,0.026793614902113926
0,1,0,3,2,3,0.009996716569769052
0,1,0,3,3,0,0.012850404648711565
0,1,0,3,3,1,0.014656920108568913
0,1,0,3,3,2,0.008005336237602583
0,1,0,3,3,3,0.0019359106893269379
0,1,1,0,0,0,0.09700222618644161
0,1,1,0,0,1,0.07668137611417085
0,1,1,0,0,2,0.04196890828057285
0,1,1,0,0,3,0.01772499256394204
0,1,1,0,1,0,0.13015091024973732
0,1,1,0,1,1,0.13683396003428322
0,1,1,0,1,2,0.0756403279003838
0,1,1,0,1,3,0.026132318904933356
0,1,1,0,2,0,0.07688786801798733
0,1,1,0,2,1,0.1010974452475863
0,1,1,0,2,2,0.05609575711548915
0,1,1,0,2,3,0.021188688587829935
0,1,1,0,3,0,0.043043042197476754
0,1,1,0,3,1,0.05426106466778871
0,1,1,0,3,2,0.03640694123408835
0,1,1,0,3,3,0.00888417269728841
0,1,1,1,0,0,0.1188359884625793
0,1,1,1,0,1,0.10135944063639014
0,1,1,1,0,2,0.056442947579162274
0,1,1,1,0,3,0.025664546960566886
0,1,1,1,1,0,0.1270745892711738
0,1,1,1,1,1,0.14398333764605523
0,1,1,1,1,2,0.0814629205706608
0,1,1,1,1,3,0.03243753213528577
0,1,1,1,2,0,0.06527909266385748
0,1,1,1,2,1,0.0849639189292715
0,1,1,1,2,2,0.04872602082546645
0,1,1,1,2,3,0.020710020095235197
0,1,1,1,3,0,0.027193183758781058
0,1,1,1,3,1,0.03547700579049771
0,1,1,1,3,2,0.024054138227144344
0,1,1,1,3,3,0.006335316447872157
0,1,1,2,0,0,0.1391301748037861
0,1,1,2,0,1,0.12803997438056486
0,1,1,2,0,2,0.07254354342468412
0,1,1,2,0,3,0.03551306933976077
0,1,1,2,1,0,0.11857067323757615
0,1,1,2,1,1,0.14478969181991752
0,1,1,2,1,2,0.0838443139993806
